cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......2254 Courtepin,5766,2959,2807,3545,1743,1802,2221,1216,1005
......2257 Cressier (FR),1109,556,553,800,397,403,309,159,150
......2258 Fräschels,445,232,213,409,218,191,36,14,22
......2261 Greng,176,80,96,151,67,84,25,13,12
......2262 Gurmels,4675,2377,2298,4089,2068,2021,586,309,277
......2265 Kerzers,5464,2743,2721,3772,1858,1914,1692,885,807
......2266 Kleinbösingen,705,350,355,654,323,331,51,27,24
......2271 Meyriez,569,281,288,527,261,266,42,20,22
......2272 Misery-Courtion,2404,1229,1175,1649,793,856,755,436,319
......2274 Muntelier,982,480,502,891,431,460,91,49,42
......2275 Murten,9550,4674,4876,7605,3684,3921,1945,990,955
......2276 Ried bei Kerzers,1236,656,580,1029,522,507,207,134,73
......2278 Ulmiz,425,219,206,408,208,200,17,11,6
......2284 Mont-Vully,4558,2285,2273,3720,1837,1883,838,448,390
>> Bezirk Sense,46668,23462,23206,40418,20193,20225,6250,3269,2981
......2292 Brünisried,724,376,348,699,359,340,25,17,8
......2293 Düdingen,9114,4565,4549,7575,3754,3821,1539,811,728
......2294 Giffers,1703,858,845,1513,762,751,190,96,94
......2295 Bösingen,3360,1688,1672,3003,1504,1499,357,184,173
......2296 Heitenried,1404,725,679,1309,675,634,95,50,45
......2299 Plaffeien,3693,1834,1859,3351,1654,1697,342,180,162
......2300 Plasselb,1088,548,540,982,490,492,106,58,48
......2301 Rechthalten,1165,579,586,1093,542,551,72,37,35
......2303 St. Silvester,1064,521,543,962,469,493,102,52,50
......2304 St. Ursen,1419,718,701,1251,629,622,168,89,79
......2305 Schmitten (FR),4285,2178,2107,3730,1872,1858,555,306,249
......2306 Tafers,8025,4017,4008,6895,3446,3449,1130,571,559
......2307 Tentlingen,1382,679,703,1224,612,612,158,67,91
......2308 Ueberstorf,2433,1216,1217,2314,1162,1152,119,54,65
......2309 Wünnewil-Flamatt,5809,2960,2849,4517,2263,2254,1292,697,595
>> District de la Veveyse,21638,10829,10809,16628,8162,8466,5010,2667,2343
......2321 Attalens,3690,1847,1843,3007,1485,1522,683,362,321
......2323 Bossonnens,1593,802,791,1195,587,608,398,215,183
......2325 Châtel-Saint-Denis,8783,4404,4379,5944,2886,3058,2839,1518,1321
......2328 Granges (Veveyse),977,496,481,840,424,416,137,72,65
......2333 Remaufens,1425,703,722,1134,553,581,291,150,141
......2335 Saint-Martin (FR),1043,516,527,925,454,471,118,62,56
......2336 Semsales,1568,790,778,1370,675,695,198,115,83
......2337 Le Flon,1210,584,626,1056,515,541,154,69,85
......2338 La Verrerie,1349,687,662,1157,583,574,192,104,88
- Solothurn,289731,145126,144605,215598,105571,110027,74133,39555,34578
>> Bezirk Gäu,23367,11928,11439,16770,8273,8497,6597,3655,2942
......2401 Egerkingen,4308,2220,2088,2690,1319,1371,1618,901,717
......2402 Härkingen,1782,925,857,1468,741,727,314,184,130
......2403 Kestenholz,1883,955,928,1691,846,845,192,109,83
......2404 Neuendorf,2394,1195,1199,2000,964,1036,394,231,163
......2405 Niederbuchsiten,1341,663,678,1063,518,545,278,145,133
......2406 Oberbuchsiten,2406,1242,1164,1634,797,837,772,445,327
......2407 Oensingen,6812,3535,3277,4066,2057,2009,2746,1478,1268
......2408 Wolfwil,2441,1193,1248,2158,1031,1127,283,162,121
>> Bezirk Thal,15517,8048,7469,11836,5998,5838,3681,2050,1631
......2421 Aedermannsdorf,593,320,273,553,297,256,40,23,17
......2422 Balsthal,6560,3423,3137,4156,2095,2061,2404,1328,1076
......2424 Herbetswil,607,328,279,529,281,248,78,47,31
......2425 Holderbank (SO),779,401,378,603,295,308,176,106,70
......2426 Laupersdorf,1878,963,915,1618,821,797,260,142,118
......2427 Matzendorf,1409,720,689,1255,638,617,154,82,72
......2428 Mümliswil-Ramiswil,2481,1265,1216,2104,1052,1052,377,213,164
......2430 Welschenrohr-Gänsbrunnen,1210,628,582,1018,519,499,192,109,83
>> Bezirk Bucheggberg,8251,4104,4147,7721,3817,3904,530,287,243
......2445 Biezwil,345,179,166,329,172,157,16,7,9
......2455 Lüterkofen-Ichertswil,902,443,459,826,407,419,76,36,40
......2457 Messen,1498,774,724,1428,733,695,70,41,29
......2461 Schnottwil,1176,590,586,1088,543,545,88,47,41
......2463 Unterramsern,225,107,118,214,102,112,11,5,6
......2464 Lüsslingen-Nennigkofen,1143,567,576,1046,513,533,97,54,43
......2465 Buchegg,2962,1444,1518,2790,1347,1443,172,97,75
>> Bezirk Dorneck,21323,10451,10872,17063,8296,8767,4260,2155,2105
......2471 Bättwil,1192,582,610,1004,484,520,188,98,90
......2472 Büren (SO),1078,523,555,916,438,478,162,85,77
......2473 Dornach,6900,3311,3589,4902,2315,2587,1998,996,1002
......2474 Gempen,934,467,467,785,399,386,149,68,81
......2475 Hochwald,1282,646,636,1137,573,564,145,73,72
......2476 Hofstetten-Flüh,3400,1681,1719,2716,1328,1388,684,353,331
......2477 Metzerlen-Mariastein,988,513,475,846,436,410,142,77,65
......2478 Nuglar-St. Pantaleon,1553,782,771,1373,687,686,180,95,85
......2479 Rodersdorf,1408,662,746,1221,570,651,187,92,95
......2480 Seewen,1088,537,551,948,463,485,140,74,66
......2481 Witterswil,1500,747,753,1215,603,612,285,144,141
>> Bezirk Gösgen,26074,13104,12970,19077,9376,9701,6997,3728,3269
......2491 Hauenstein-Ifenthal,341,186,155,301,164,137,40,22,18
......2492 Kienberg,526,276,250,454,238,216,72,38,34
......2493 Lostorf,4129,2095,2034,3620,1808,1812,509,287,222
......2495 Niedergösgen,4252,2175,2077,2871,1450,1421,1381,725,656
......2497 Obergösgen,2490,1235,1255,1756,843,913,734,392,342
......2499 Stüsslingen,1257,621,636,1126,553,573,131,68,63
......2500 Trimbach,6854,3457,3397,3838,1847,1991,3016,1610,1406
......2501 Winznau,2052,1033,1019,1673,827,846,379,206,173
......2502 Wisen (SO),438,218,220,403,199,204,35,19,16
......2503 Erlinsbach (SO),3735,1808,1927,3035,1447,1588,700,361,339
>> Bezirk Wasseramt,55924,27959,27965,40801,19866,20935,15123,8093,7030
......2511 Aeschi (SO),1328,668,660,1212,597,615,116,71,45
......2513 Biberist,9545,4717,4828,6892,3334,3558,2653,1383,1270
......2514 Bolken,577,305,272,535,281,254,42,24,18
......2516 Deitingen,2337,1191,1146,2023,1019,1004,314,172,142
......2517 Derendingen,7134,3525,3609,4803,2295,2508,2331,1230,1101
......2518 Etziken,1068,531,537,927,460,467,141,71,70
......2519 Gerlafingen,5860,3006,2854,3392,1656,1736,2468,1350,1118
......2520 Halten,841,432,409,765,384,381,76,48,28
......2523 Horriwil,944,468,476,873,433,440,71,35,36
......2524 Hüniken,161,82,79,155,80,75,6,2,4
......2525 Kriegstetten,1446,713,733,1248,597,651,198,116,82
......2526 Lohn-Ammannsegg,2947,1451,1496,2654,1292,1362,293,159,134
......2527 Luterbach,3725,1890,1835,2871,1409,1462,854,481,373
......2528 Obergerlafingen,1266,617,649,1088,535,553,178,82,96
......2529 Oekingen,894,452,442,834,421,413,60,31,29
......2530 Recherswil,2202,1082,1120,1890,906,984,312,176,136
......2532 Subingen,3299,1648,1651,2698,1326,1372,601,322,279
......2534 Zuchwil,9619,4812,4807,5266,2500,2766,4353,2312,2041
......2535 Drei Höfe,731,369,362,675,341,334,56,28,28
>> Bezirk Lebern,48287,24159,24128,35440,17294,18146,12847,6865,5982
......2541 Balm bei Günsberg,230,133,97,193,107,86,37,26,11
......2542 Bellach,5554,2752,2802,3807,1836,1971,1747,916,831
......2543 Bettlach,4987,2549,2438,3973,1979,1994,1014,570,444
......2544 Feldbrunnen-St. Niklaus,1071,544,527,924,478,446,147,66,81
......2545 Flumenthal,1052,513,539,879,422,457,173,91,82
......2546 Grenchen,18587,9370,9217,11115,5381,5734,7472,3989,3483
......2547 Günsberg,1206,605,601,1124,564,560,82,41,41
......2548 Hubersdorf,719,355,364,662,321,341,57,34,23
......2549 Kammersrohr,32,16,16,30,16,14,2,.,2
......2550 Langendorf,3883,1856,2027,3168,1486,1682,715,370,345
......2551 Lommiswil,1618,808,810,1457,724,733,161,84,77
......2553 Oberdorf (SO),1817,892,925,1670,812,858,147,80,67
......2554 Riedholz,2309,1132,1177,2029,989,1040,280,143,137
......2555 Rüttenen,1532,764,768,1402,696,706,130,68,62
......2556 Selzach,3690,1870,1820,3007,1483,1524,683,387,296
>> Bezirk Olten,58707,29436,29271,41061,20092,20969,17646,9344,8302
......2571 Boningen,814,399,415,650,319,331,164,80,84
......2572 Däniken,3073,1600,1473,2277,1176,1101,796,424,372
......2573 Dulliken,5447,2748,2699,2960,1430,1530,2487,1318,1169
......2574 Eppenberg-Wöschnau,340,188,152,206,103,103,134,85,49
......2575 Fulenbach,1821,912,909,1610,804,806,211,108,103
......2576 Gretzenbach,2788,1384,1404,2090,1005,1085,698,379,319
......2578 Gunzgen,1696,868,828,1438,728,710,258,140,118
......2579 Hägendorf,5300,2712,2588,3863,1921,1942,1437,791,646
......2580 Kappel (SO),3560,1745,1815,2609,1241,1368,951,504,447
......2581 Olten,19046,9476,9570,12948,6323,6625,6098,3153,2945
......2582 Rickenbach (SO),1211,608,603,939,465,474,272,143,129
......2583 Schönenwerd,5334,2665,2669,3260,1556,1704,2074,1109,965
......2584 Starrkirch-Wil,1978,1002,976,1586,782,804,392,220,172
......2585 Walterswil (SO),772,382,390,665,317,348,107,65,42
......2586 Wangen bei Olten,5527,2747,2780,3960,1922,2038,1567,825,742
>> Bezirk Solothurn,16842,8167,8675,13052,6199,6853,3790,1968,1822
......2601 Solothurn,16842,8167,8675,13052,6199,6853,3790,1968,1822
>> Bezirk Thierstein,15439,7770,7669,12777,6360,6417,2662,1410,1252
......2611 Bärschwil,796,423,373,698,370,328,98,53,45
......2612 Beinwil (SO),262,139,123,226,114,112,36,25,11
......2613 Breitenbach,4367,2127,2240,3208,1532,1676,1159,595,564
......2614 Büsserach,2450,1236,1214,2029,1009,1020,421,227,194
......2615 Erschwil,967,501,466,800,415,385,167,86,81
......2616 Fehren,601,298,303,574,283,291,27,15,12
......2617 Grindel,519,263,256,450,221,229,69,42,27
......2618 Himmelried,964,490,474,828,421,407,136,69,67
......2619 Kleinlützel,1198,596,602,1030,512,518,168,84,84
......2620 Meltingen,631,321,310,572,283,289,59,38,21
......2621 Nunningen,1983,1011,972,1779,898,881,204,113,91
......2622 Zullwil,701,365,336,583,302,281,118,63,55
- Basel-Stadt,201333,98247,103086,123459,58423,65036,77874,39824,38050
>> Kanton Basel-Stadt,201333,98247,103086,123459,58423,65036,77874,39824,38050
......2701 Basel,177522,86934,90588,106579,50553,56026,70943,36381,34562
......2702 Bettingen,1279,622,657,963,466,497,316,156,160
......2703 Riehen,22532,10691,11841,15917,7404,8513,6615,3287,3328
- Basel-Landschaft,301280,147847,153433,224532,108201,116331,76748,39646,37102
>> Bezirk Arlesheim,161875,78084,83791,119365,56606,62759,42510,21478,21032
......2761 Aesch (BL),11134,5451,5683,8095,3860,4235,3039,1591,1448
......2762 Allschwil,22153,10666,11487,15318,7237,8081,6835,3429,3406
......2763 Arlesheim,9313,4279,5034,7305,3289,4016,2008,990,1018
......2764 Biel-Benken,3485,1715,1770,2956,1442,1514,529,273,256
......2765 Binningen,16050,7640,8410,11255,5252,6003,4795,2388,2407
......2766 Birsfelden,10445,5161,5284,6891,3270,3621,3554,1891,1663
......2767 Bottmingen,7012,3365,3647,5055,2411,2644,1957,954,1003
......2768 Ettingen,5567,2705,2862,4476,2153,2323,1091,552,539
......2769 Münchenstein,12454,6082,6372,8884,4261,4623,3570,1821,1749
......2770 Muttenz,18118,8808,9310,13957,6736,7221,4161,2072,2089
......2771 Oberwil (BL),11427,5463,5964,8639,4113,4526,2788,1350,1438
......2772 Pfeffingen,2413,1186,1227,2004,983,1021,409,203,206
......2773 Reinach (BL),20686,9927,10759,15128,7081,8047,5558,2846,2712
......2774 Schönenbuch,1494,739,755,1267,623,644,227,116,111
......2775 Therwil,10124,4897,5227,8135,3895,4240,1989,1002,987
>> Bezirk Laufen,21335,10673,10662,16600,8197,8403,4735,2476,2259
......2781 Blauen,707,351,356,635,317,318,72,34,38
......2782 Brislach,1772,896,876,1545,785,760,227,111,116
......2783 Burg im Leimental,286,139,147,251,123,128,35,16,19
......2784 Dittingen,740,357,383,606,283,323,134,74,60
......2785 Duggingen,1621,812,809,1260,619,641,361,193,168
......2786 Grellingen,1957,1007,950,1359,680,679,598,327,271
......2787 Laufen,6054,2987,3067,4278,2071,2207,1776,916,860
......2788 Liesberg,1105,578,527,942,488,454,163,90,73
......2789 Nenzlingen,468,240,228,390,196,194,78,44,34
......2790 Roggenburg,246,127,119,222,113,109,24,14,10
......2791 Röschenz,1940,968,972,1732,855,877,208,113,95
......2792 Wahlen,1592,798,794,1313,661,652,279,137,142
......2793 Zwingen,2847,1413,1434,2067,1006,1061,780,407,373
>> Bezirk Liestal,64074,31907,32167,44024,21325,22699,20050,10582,9468
......2821 Arisdorf,1733,850,883,1495,727,768,238,123,115
......2822 Augst,1087,576,511,787,392,395,300,184,116
......2823 Bubendorf,4534,2280,2254,3677,1818,1859,857,462,395
......2824 Frenkendorf,6650,3364,3286,4207,2045,2162,2443,1319,1124
......2825 Füllinsdorf,4730,2313,2417,3194,1512,1682,1536,801,735
......2826 Giebenach,1135,584,551,826,419,407,309,165,144
......2827 Hersberg,393,200,193,336,172,164,57,28,29
......2828 Lausen,5884,2918,2966,4153,1993,2160,1731,925,806
......2829 Liestal,16032,7953,8079,11046,5375,5671,4986,2578,2408
......2830 Lupsingen,1564,759,805,1367,651,716,197,108,89
......2831 Pratteln,16576,8258,8318,9582,4591,4991,6994,3667,3327
......2832 Ramlinsburg,732,350,382,639,304,335,93,46,47
......2833 Seltisberg,1316,646,670,1210,580,630,106,66,40
......2834 Ziefen,1708,856,852,1505,746,759,203,110,93
>> Bezirk Sissach,37576,18754,18822,31164,15341,15823,6412,3413,2999
......2841 Anwil,547,288,259,510,267,243,37,21,16
......2842 Böckten,857,438,419,727,363,364,130,75,55
......2843 Buckten,715,352,363,576,274,302,139,78,61
......2844 Buus,1134,590,544,977,503,474,157,87,70
......2845 Diepflingen,835,423,412,684,352,332,151,71,80
......2846 Gelterkinden,6456,3199,3257,5170,2526,2644,1286,673,613
......2847 Häfelfingen,246,127,119,214,110,104,32,17,15
......2848 Hemmiken,263,126,137,246,115,131,17,11,6
......2849 Itingen,2473,1240,1233,1932,950,982,541,290,251
......2850 Känerkinden,532,260,272,460,223,237,72,37,35
......2851 Kilchberg (BL),182,87,95,161,77,84,21,10,11
......2852 Läufelfingen,1416,725,691,1204,605,599,212,120,92
......2853 Maisprach,954,473,481,787,383,404,167,90,77
......2854 Nusshof,277,142,135,238,119,119,39,23,16
......2855 Oltingen,526,265,261,495,250,245,31,15,16
......2856 Ormalingen,2375,1167,1208,2065,1005,1060,310,162,148
......2857 Rickenbach (BL),570,289,281,517,259,258,53,30,23
......2858 Rothenfluh,809,410,399,699,345,354,110,65,45
......2859 Rümlingen,438,237,201,347,184,163,91,53,38
......2860 Rünenberg,794,385,409,718,349,369,76,36,40
......2861 Sissach,6893,3390,3503,5631,2726,2905,1262,664,598
......2862 Tecknau,816,414,402,550,277,273,266,137,129
......2863 Tenniken,937,459,478,813,392,421,124,67,57
......2864 Thürnen,1459,763,696,1117,574,543,342,189,153
......2865 Wenslingen,712,340,372,665,314,351,47,26,21
......2866 Wintersingen,602,313,289,531,275,256,71,38,33
......2867 Wittinsburg,449,225,224,419,210,209,30,15,15
......2868 Zeglingen,519,262,257,476,241,235,43,21,22
......2869 Zunzgen,2790,1365,1425,2235,1073,1162,555,292,263
>> Bezirk Waldenburg,16420,8429,7991,13379,6732,6647,3041,1697,1344
......2881 Arboldswil,608,299,309,547,264,283,61,35,26
......2882 Bennwil,677,352,325,629,326,303,48,26,22
......2883 Bretzwil,736,374,362,674,345,329,62,29,33
......2884 Diegten,1643,799,844,1410,687,723,233,112,121
......2885 Eptingen,560,292,268,489,252,237,71,40,31
......2886 Hölstein,2643,1375,1268,2099,1065,1034,544,310,234
......2887 Lampenberg,581,294,287,535,274,261,46,20,26
......2888 Langenbruck,974,523,451,777,402,375,197,121,76
......2889 Lauwil,324,157,167,297,144,153,27,13,14
......2890 Liedertswil,156,79,77,137,69,68,19,10,9
......2891 Niederdorf,1782,921,861,1305,647,658,477,274,203
......2892 Oberdorf (BL),2577,1305,1272,1927,949,978,650,356,294
......2893 Reigoldswil,1593,817,776,1394,708,686,199,109,90
......2894 Titterten,442,227,215,391,199,192,51,28,23
......2895 Waldenburg,1124,615,509,768,401,367,356,214,142
- Schaffhausen,88650,44103,44547,62998,30589,32409,25652,13514,12138
>> Bezirk Oberklettgau,5330,2698,2632,4412,2196,2216,918,502,416
......2901 Gächlingen,1029,526,503,896,450,446,133,76,57
......2903 Löhningen,1642,830,812,1377,683,694,265,147,118
......2904 Neunkirch,2659,1342,1317,2139,1063,1076,520,279,241
>> Bezirk Reiat,9614,4784,4830,7384,3648,3736,2230,1136,1094
......2914 Büttenhardt,438,218,220,388,192,196,50,26,24
......2915 Dörflingen,1056,515,541,867,419,448,189,96,93
......2917 Lohn (SH),760,365,395,676,332,344,84,33,51
......2919 Stetten (SH),1479,732,747,1222,599,623,257,133,124
......2920 Thayngen,5881,2954,2927,4231,2106,2125,1650,848,802
>> Bezirk Schaffhausen,59001,29229,29772,39712,19067,20645,19289,10162,9127
......2931 Bargen (SH),342,177,165,248,126,122,94,51,43
......2932 Beringen,5267,2672,2595,3949,1965,1984,1318,707,611
......2933 Buchberg,885,441,444,797,400,397,88,41,47
......2936 Merishausen,905,452,453,787,394,393,118,58,60
......2937 Neuhausen am Rheinfall,11827,6011,5816,6410,3126,3284,5417,2885,2532
......2938 Rüdlingen,815,408,407,704,349,355,111,59,52
......2939 Schaffhausen,38960,19068,19892,26817,12707,14110,12143,6361,5782
>> Bezirk Schleitheim,3214,1638,1576,2665,1335,1330,549,303,246
......2951 Beggingen,483,256,227,420,214,206,63,42,21
......2952 Schleitheim,1843,935,908,1474,729,745,369,206,163
......2953 Siblingen,888,447,441,771,392,379,117,55,62
>> Bezirk Stein,6255,3122,3133,4581,2233,2348,1674,889,785
......2961 Buch (SH),336,188,148,242,128,114,94,60,34
......2962 Hemishofen,493,251,242,393,194,199,100,57,43
......2963 Ramsen,1655,844,811,1097,553,544,558,291,267
......2964 Stein am Rhein,3771,1839,1932,2849,1358,1491,922,481,441
>> Bezirk Unterklettgau,5236,2632,2604,4244,2110,2134,992,522,470
......2971 Hallau,2423,1218,1205,1933,958,975,490,260,230
......2972 Oberhallau,456,235,221,406,208,198,50,27,23
......2973 Trasadingen,619,316,303,460,226,234,159,90,69
......2974 Wilchingen,1738,863,875,1445,718,727,293,145,148
- Appenzell Ausserrhoden,56688,28547,28141,46402,23032,23370,10286,5515,4771
>> Bezirk Hinterland,24745,12536,12209,19826,9891,9935,4919,2645,2274
......3001 Herisau,15941,8047,7894,11868,5861,6007,4073,2186,1887
......3002 Hundwil,965,504,461,880,457,423,85,47,38
......3003 Schönengrund,557,291,266,530,276,254,27,15,12
......3004 Schwellbrunn,1554,799,755,1435,736,699,119,63,56
......3005 Stein (AR),1497,753,744,1382,698,684,115,55,60
......3006 Urnäsch,2370,1210,1160,2092,1054,1038,278,156,122
......3007 Waldstatt,1861,932,929,1639,809,830,222,123,99
>> Bezirk Mittelland,17967,8880,9087,15356,7536,7820,2611,1344,1267
......3021 Bühler,1934,980,954,1446,716,730,488,264,224
......3022 Gais,3134,1567,1567,2717,1344,1373,417,223,194
......3023 Speicher,4502,2198,2304,3926,1918,2008,576,280,296
......3024 Teufen (AR),6520,3197,3323,5659,2770,2889,861,427,434
......3025 Trogen,1877,938,939,1608,788,820,269,150,119
>> Bezirk Vorderland,13976,7131,6845,11220,5605,5615,2756,1526,1230
......3031 Grub (AR),986,496,490,831,416,415,155,80,75
......3032 Heiden,4382,2177,2205,3385,1634,1751,997,543,454
......3033 Lutzenberg,1321,684,637,1054,535,519,267,149,118
......3034 Rehetobel,1714,877,837,1482,747,735,232,130,102
......3035 Reute (AR),703,375,328,556,295,261,147,80,67
......3036 Wald (AR),929,473,456,796,399,397,133,74,59
......3037 Walzenhausen,2053,1065,988,1549,770,779,504,295,209
......3038 Wolfhalden,1888,984,904,1567,809,758,321,175,146
- Appenzell Innerrhoden,16732,8589,8143,14616,7445,7171,2116,1144,972
>> Kanton Appenzell Innerrhoden,16732,8589,8143,14616,7445,7171,2116,1144,972
......3101 Appenzell,6096,3111,2985,4781,2397,2384,1315,714,601
......3102 Gonten,1474,761,713,1403,722,681,71,39,32
......3104 Schlatt-Haslen,1119,599,520,1067,570,497,52,29,23
......3111 Oberegg,1935,976,959,1764,889,875,171,87,84
......3112 Schwende-Rüte,6108,3142,2966,5601,2867,2734,507,275,232
- St. Gallen,539944,271705,268239,394393,193580,200813,145551,78125,67426
>> Wahlkreis St. Gallen,127169,63267,63902,90466,43687,46779,36703,19580,17123
......3201 Häggenschwil,1426,740,686,1261,641,620,165,99,66
......3202 Muolen,1265,645,620,1143,580,563,122,65,57
......3203 St. Gallen,78839,39283,39556,51903,24894,27009,26936,14389,12547
......3204 Wittenbach,10141,4948,5193,7143,3407,3736,2998,1541,1457
......3212 Eggersriet,2434,1239,1195,2161,1073,1088,273,166,107
......3441 Andwil (SG),2144,1079,1065,1978,988,990,166,91,75
......3442 Gaiserwald,8713,4260,4453,7340,3555,3785,1373,705,668
......3443 Gossau (SG),18631,9264,9367,14295,6930,7365,4336,2334,2002
......3444 Waldkirch,3576,1809,1767,3242,1619,1623,334,190,144
>> Wahlkreis Rorschach,45822,23103,22719,31808,15567,16241,14014,7536,6478
......3211 Berg (SG),1033,519,514,901,449,452,132,70,62
......3213 Goldach,9782,4793,4989,7051,3389,3662,2731,1404,1327
......3214 Mörschwil,3671,1846,1825,3303,1643,1660,368,203,165
......3215 Rorschach,10271,5303,4968,4863,2338,2525,5408,2965,2443
......3216 Rorschacherberg,7711,3899,3812,5309,2634,2675,2402,1265,1137
......3217 Steinach,3580,1792,1788,2684,1297,1387,896,495,401
......3218 Tübach,1602,787,815,1394,679,715,208,108,100
......3219 Untereggen,1036,517,519,931,464,467,105,53,52
......3237 Thal,7136,3647,3489,5372,2674,2698,1764,973,791
>> Wahlkreis Rheintal,78858,40247,38611,54623,27118,27505,24235,13129,11106
......3231 Au (SG),8624,4358,4266,5322,2580,2742,3302,1778,1524
......3232 Balgach,5212,2652,2560,3925,1956,1969,1287,696,591
......3233 Berneck,4008,2011,1997,3192,1584,1608,816,427,389
......3234 Diepoldsau,6938,3546,3392,5088,2553,2535,1850,993,857
......3235 Rheineck,3513,1774,1739,2259,1094,1165,1254,680,574
......3236 St. Margrethen,6715,3527,3188,3195,1569,1626,3520,1958,1562
......3238 Widnau,10405,5298,5107,7327,3624,3703,3078,1674,1404
......3251 Altstätten,12579,6381,6198,8568,4198,4370,4011,2183,1828
......3252 Eichberg,1616,827,789,1329,662,667,287,165,122
......3253 Marbach (SG),2168,1086,1082,1711,859,852,457,227,230
......3254 Oberriet (SG),9373,4832,4541,7529,3836,3693,1844,996,848
......3255 Rebstein,5074,2593,2481,3291,1644,1647,1783,949,834
......3256 Rüthi (SG),2633,1362,1271,1887,959,928,746,403,343
>> Wahlkreis Werdenberg,42586,21788,20798,27134,13358,13776,15452,8430,7022
......3271 Buchs (SG),14034,7155,6879,7722,3739,3983,6312,3416,2896
......3272 Gams,3728,1909,1819,2775,1411,1364,953,498,455
......3273 Grabs,7489,3748,3741,5758,2828,2930,1731,920,811
......3274 Sennwald,6330,3341,2989,3989,2005,1984,2341,1336,1005
......3275 Sevelen,5410,2780,2630,3187,1556,1631,2223,1224,999
......3276 Wartau,5595,2855,2740,3703,1819,1884,1892,1036,856
>> Wahlkreis Sarganserland,44243,22216,22027,33852,16617,17235,10391,5599,4792
......3291 Bad Ragaz,6872,3479,3393,4782,2323,2459,2090,1156,934
......3292 Flums,5401,2726,2675,4121,2033,2088,1280,693,587
......3293 Mels,9581,4807,4774,7649,3784,3865,1932,1023,909
......3294 Pfäfers,1624,853,771,1363,718,645,261,135,126
......3295 Quarten,3104,1547,1557,2460,1194,1266,644,353,291
......3296 Sargans,6614,3283,3331,4504,2183,2321,2110,1100,1010
......3297 Vilters-Wangs,5121,2575,2546,4216,2043,2173,905,532,373
......3298 Walenstadt,5926,2946,2980,4757,2339,2418,1169,607,562
>> Wahlkreis See-Gaster,72084,35903,36181,57482,28223,29259,14602,7680,6922
......3311 Amden,1901,941,960,1683,824,859,218,117,101
......3312 Benken (SG),3073,1583,1490,2628,1329,1299,445,254,191
......3313 Kaltbrunn,5098,2614,2484,4038,2038,2000,1060,576,484
......3315 Schänis,4170,2064,2106,3521,1724,1797,649,340,309
......3316 Weesen,1897,909,988,1592,755,837,305,154,151
......3338 Schmerikon,4148,2069,2079,3009,1486,1523,1139,583,556
......3339 Uznach,7036,3486,3550,4799,2298,2501,2237,1188,1049
......3340 Rapperswil-Jona,28777,14116,14661,22967,11137,11830,5810,2979,2831
......3341 Gommiswald,5718,2905,2813,4820,2428,2392,898,477,421
......3342 Eschenbach (SG),10266,5216,5050,8425,4204,4221,1841,1012,829
>> Wahlkreis Toggenburg,49290,24979,24311,39662,19793,19869,9628,5186,4442
......3352 Ebnat-Kappel,5323,2644,2679,4418,2175,2243,905,469,436
......3359 Wildhaus-Alt St. Johann,2600,1321,1279,2212,1098,1114,388,223,165
......3360 Nesslau,3890,1972,1918,3542,1785,1757,348,187,161
......3374 Lichtensteig,2140,1110,1030,1650,821,829,490,289,201
......3379 Wattwil,9163,4547,4616,6694,3253,3441,2469,1294,1175
......3392 Kirchberg (SG),9790,5079,4711,6786,3407,3379,3004,1672,1332
......3393 Lütisburg,1646,848,798,1362,689,673,284,159,125
......3394 Mosnang,2981,1544,1437,2779,1444,1335,202,100,102
......3395 Bütschwil-Ganterschwil,5337,2686,2651,4483,2243,2240,854,443,411
......3396 Neckertal,6420,3228,3192,5736,2878,2858,684,350,334
>> Wahlkreis Wil,79892,40202,39690,59366,29217,30149,20526,10985,9541
......3401 Degersheim,4216,2092,2124,3429,1665,1764,787,427,360
......3402 Flawil,10632,5360,5272,7401,3626,3775,3231,1734,1497
......3405 Jonschwil,3992,2024,1968,3406,1683,1723,586,341,245
......3407 Oberuzwil,6742,3415,3327,5187,2577,2610,1555,838,717
......3408 Uzwil,14563,7368,7195,10105,4958,5147,4458,2410,2048
......3422 Niederbüren,1529,813,716,1364,723,641,165,90,75
......3423 Niederhelfenschwil,3290,1662,1628,2997,1515,1482,293,147,146
......3424 Oberbüren,4725,2487,2238,4092,2128,1964,633,359,274
......3426 Zuzwil (SG),5033,2552,2481,4353,2190,2163,680,362,318
......3427 Wil (SG),25170,12429,12741,17032,8152,8880,8138,4277,3861
- Graubünden / Grigioni / Grischun,206111,103786,102325,162753,80141,82612,43358,23645,19713
>> Region Albula,8170,4179,3991,6615,3283,3332,1555,896,659
......3506 Vaz/Obervaz,2731,1403,1328,2131,1055,1076,600,348,252
......3513 Lantsch/Lenz,518,260,258,446,219,227,72,41,31
......3514 Schmitten (GR),205,114,91,177,96,81,28,18,10
......3542 Albula/Alvra,1353,694,659,1105,549,556,248,145,103
......3543 Surses,2465,1264,1201,2024,1011,1013,441,253,188
......3544 Bergün Filisur,898,444,454,732,353,379,166,91,75
